USE_MON	LINE_NUM	SUB_STA_NM	FOUR_RIDE_NUM	FOUR_ALIGHT_NUM	FIVE_RIDE_NUM	FIVE_ALIGHT_NUM	SIX_RIDE_NUM	SIX_ALIGHT_NUM	SEVEN_RIDE_NUM	SEVEN_ALIGHT_NUM	EIGHT_RIDE_NUM	EIGHT_ALIGHT_NUM	NINE_RIDE_NUM	NINE_ALIGHT_NUM	TEN_RIDE_NUM	TEN_ALIGHT_NUM	ELEVEN_RIDE_NUM	ELEVEN_ALIGHT_NUM	TWELVE_RIDE_NUM	TWELVE_ALIGHT_NUM	THIRTEEN_RIDE_NUM	THIRTEEN_ALIGHT_NUM	FOURTEEN_RIDE_NUM	FOURTEEN_ALIGHT_NUM	FIFTEEN_RIDE_NUM	FIFTEEN_ALIGHT_NUM	SIXTEEN_RIDE_NUM	SIXTEEN_ALIGHT_NUM	SEVENTEEN_RIDE_NUM	SEVENTEEN_ALIGHT_NUM	EIGHTEEN_RIDE_NUM	EIGHTEEN_ALIGHT_NUM	NINETEEN_RIDE_NUM	NINETEEN_ALIGHT_NUM	TWENTY_RIDE_NUM	TWENTY_ALIGHT_NUM	TWENTY_ONE_RIDE_NUM	TWENTY_ONE_ALIGHT_NUM	TWENTY_TWO_RIDE_NUM	TWENTY_TWO_ALIGHT_NUM	TWENTY_THREE_RIDE_NUM	TWENTY_THREE_ALIGHT_NUM	MIDNIGHT_RIDE_NUM	MIDNIGHT_ALIGHT_NUM	ONE_RIDE_NUM	ONE_ALIGHT_NUM	TWO_RIDE_NUM	TWO_ALIGHT_NUM	THREE_RIDE_NUM	THREE_ALIGHT_NUM	WORK_DT
201904	4호선	동작(현충원)	4	1	625	229	1848	2224	6290	4317	8119	9545	5798	8768	4357	5287	6760	4581	6104	5698	5271	7728	6163	6455	7106	6427	6601	6236	7505	6527	8774	8618	4416	6503	3115	4642	3025	3736	2313	3281	902	2142	178	1086	1	102	0	0	0	0	20190503
201904	1호선	서울역	983	25	10978	9792	14928	59322	44509	115751	88158	245338	64968	170410	70371	91095	86516	80891	96950	87244	99290	90073	84763	84619	111930	88008	118301	92158	164166	102075	254345	107815	146934	81298	102171	59699	100716	50453	75370	38652	36066	19795	3946	7331	3	464	0	0	0	0	20190503
201904	1호선	시청	70	0	2525	4585	3860	24399	8824	76386	11972	215943	14978	90170	18297	51220	24485	46798	27171	43711	34094	49091	41445	40964	53492	34300	61568	29033	86469	28942	171999	31429	75883	17324	60136	9980	61082	9061	39617	7232	14488	4581	911	1327	1	30	0	0	0	0	20190503
201904	1호선	종각	63	1	3880	5178	4683	31561	7732	111052	12610	304918	16185	163173	22352	78109	33532	70465	41288	64441	55612	65903	63431	56415	79732	49454	90465	50064	139628	57380	253977	76724	130435	48753	110124	19781	130195	12735	101397	8629	44951	5816	3886	1575	0	13	1	1	0	0	20190503
201904	1호선	종로3가	183	15	5113	2738	4494	14791	6872	31970	12092	87644	16718	96154	27770	81518	41011	87971	53853	88936	67869	88512	76851	79308	86661	64331	94743	55995	100646	54274	125930	61432	93035	37583	68616	15783	73921	11577	60454	8957	25565	6206	2988	2740	3	47	0	0	0	0	20190503
201904	1호선	종로5가	37	1	2047	3901	3382	17802	6158	45862	10144	133779	14837	81712	24404	66528	35205	70272	46823	67761	58918	63616	67150	59561	71974	51103	74582	45545	88130	43241	130268	41529	74657	26684	50486	12301	43577	8386	31798	5713	11532	3850	851	1136	0	2	0	0	0	0	20190503
201904	1호선	동대문	748	7	15898	2564	12607	8259	20549	16262	26367	33102	24897	31234	22151	33437	24172	37924	28915	37840	32134	36954	33756	35330	34516	33767	34070	31333	34486	32133	34534	31836	25300	33912	20336	24787	18899	19197	16492	18761	9234	14421	1261	4849	4	66	0	0	0	0	20190503
201904	1호선	신설동	322	41	10158	2185	10973	9071	23743	29881	33020	79944	24609	43526	21817	26974	23976	24021	25798	22838	28298	24646	27529	23272	29912	24217	34046	24321	44707	30031	73626	34198	32810	27499	20808	18284	19477	17455	14193	16978	6637	12323	706	3077	1	21	0	0	0	0	20190503
201904	1호선	제기동	304	3	5121	2539	10140	9927	25984	21662	37286	54069	27287	47409	29459	45003	38118	54288	45268	60669	50450	64951	56252	59199	64029	51696	63091	40224	57463	34160	55193	32542	29942	24797	18996	14824	14155	13213	9176	12355	4419	8996	350	1913	0	0	0	1	0	0	20190503
201904	1호선	청량리(서울시립대입구)	1332	12	12919	3257	19226	12324	51958	21632	68283	46186	44537	46281	37426	43173	42439	51848	48657	57088	51258	64596	54675	62661	61669	58360	68169	54981	62892	57592	57763	69626	37354	53880	28831	32359	23169	29458	16115	29378	7892	19984	488	6116	0	0	0	0	0	0	20190503
201904	1호선	동묘앞	103	7	3680	847	4278	3956	7611	13366	10995	33121	10041	19738	11078	22065	16230	30350	22493	34929	29642	41294	35315	39044	39262	33513	42183	25183	38927	19798	34615	13664	17469	9626	8729	6767	7366	6669	5160	7151	2766	4940	330	3051	5	231	0	0	0	0	20190503
201904	2호선	시청	92	1	1443	1865	2771	18126	6494	73371	10407	256510	14376	95351	21186	35249	28296	33898	28629	32234	34769	39207	40752	34630	47328	30594	54745	26341	87758	27323	205716	28111	78161	17324	53924	9963	49844	9736	33451	9213	13350	6115	1825	1803	4	106	0	0	0	0	20190503
201904	2호선	을지로입구	113	2	3077	2784	3918	29997	9398	135691	17804	367377	26653	168678	34903	94622	45595	99057	50736	76603	65986	79075	75280	69273	90110	68889	101988	68414	150353	71087	318145	80628	163268	52105	147044	30580	124485	24118	90131	19604	40621	11641	4639	3946	1	986	0	0	0	0	20190503
201904	2호선	을지로3가	6	0	1082	2232	2665	19497	6825	71482	12305	172978	16610	89057	20992	42858	24909	33027	25655	28802	30588	32547	34364	28129	39368	26560	45314	26940	72142	28909	150150	34832	71755	23271	47068	13168	48544	10784	37394	9958	19281	6714	3447	1815	2	110	0	0	0	0	20190503
201904	2호선	을지로4가	9	0	1091	913	1754	10315	3743	25082	7067	69679	10663	42669	13533	26785	15633	25999	18842	24035	21323	22600	24299	21580	28143	20230	30298	17540	41015	16939	66489	14817	39094	9825	18873	6130	14336	5957	10176	5566	4984	4108	1005	1188	0	23	0	0	0	0	20190503
201904	2호선	동대문역사문화공원	386	8	11222	1033	7374	9483	9801	32265	15647	71423	16725	42628	18671	38093	21967	36978	25558	37037	28828	41890	33519	38654	41561	35747	51433	34656	54836	37995	67110	46222	45507	54226	36574	39681	34087	30179	32886	23112	22655	14851	3660	5125	2	96	0	0	0	0	20190503
201904	2호선	신당	48	0	6652	1325	12908	10075	32742	19647	50449	46288	31821	27970	22239	21149	21668	21840	23936	22332	25302	25034	25280	25079	25741	27551	30020	29954	33667	36007	41389	48520	28451	38600	20328	24638	18645	22975	14113	22963	7280	14885	1411	5200	10	40	0	0	0	0	20190503
201904	2호선	상왕십리	32	3	6747	815	14893	6262	44811	12843	72390	43975	37349	22805	24065	14702	22294	13532	22477	14818	21909	17745	19505	18058	20379	21118	21478	24629	25924	32050	33720	50342	22787	40278	15347	26082	13984	25828	10054	24870	4204	16226	706	5850	0	25	0	0	0	0	20190503
201904	2호선	왕십리(성동구청)	685	3	8456	1149	13240	7140	34699	15074	61275	35512	36910	24775	25147	17519	25384	18525	28351	20296	30009	22401	28795	22190	30534	23781	38982	29150	44766	38553	50350	64505	34876	49028	32617	30181	37019	26676	36926	27382	24370	18796	4369	7800	8	90	0	0	0	0	20190503
